年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2013年09月03日,9999,21,,
2013年09月04日,9936,21,,
2013年09月05日,10018,21,,
2013年09月06日,10064,21,,
2013年09月09日,10068,21,,
2013年09月10日,10153,22,,
2013年09月11日,10306,22,,
2013年09月12日,10288,22,,
2013年09月13日,10260,22,,
2013年09月17日,10294,22,,
2013年09月18日,10323,22,,
2013年09月19日,10360,23,,
2013年09月20日,10501,23,,
2013年09月24日,10309,25,,
2013年09月25日,10292,26,,
2013年09月26日,10242,26,,
2013年09月27日,10324,28,,
2013年09月30日,10169,28,,
2013年10月01日,10174,28,,
2013年10月02日,10213,28,,
2013年10月03日,10132,28,,
2013年10月04日,10062,28,,
2013年10月07日,10106,28,,
2013年10月08日,10001,29,,
2013年10月09日,9931,29,,
2013年10月10日,9963,40,,
2013年10月11日,10233,42,,
2013年10月15日,10354,43,,
2013年10月16日,10314,43,,
2013年10月17日,10453,45,,
2013年10月18日,10458,44,,
2013年10月21日,10526,45,,
2013年10月22日,10549,46,,
2013年10月23日,10611,47,,
2013年10月24日,10487,47,,
2013年10月25日,10506,47,,
2013年10月28日,10572,47,,
2013年10月29日,10552,48,,
2013年10月30日,10678,48,,
2013年10月31日,10668,48,,
2013年11月01日,10595,48,,
2013年11月05日,10667,49,,
2013年11月06日,10625,49,,
2013年11月07日,10688,50,,
2013年11月08日,10526,49,,
2013年11月11日,10681,50,,
2013年11月12日,10720,50,,
2013年11月13日,10727,50,,
2013年11月14日,10736,51,,
2013年11月15日,10899,52,,
2013年11月18日,10954,50,,
2013年11月19日,10910,49,,
2013年11月20日,10911,51,,
2013年11月21日,10889,52,,
2013年11月22日,11031,52,,
2013年11月25日,11107,53,,
2013年11月26日,11102,54,,
2013年11月27日,11076,54,,
2013年11月28日,11168,56,,
2013年11月29日,11232,57,,
2013年12月02日,11219,57,,
2013年12月03日,11228,57,,
2013年12月04日,11128,63,,
2013年12月05日,11073,62,,
2013年12月06日,10969,61,,
2013年12月09日,11201,63,,
2013年12月10日,11256,64,,
2013年12月11日,11173,65,,
2013年12月12日,11031,64,,
2013年12月13日,11074,66,,
2013年12月16日,11023,70,,
2013年12月17日,11110,73,,
2013年12月18日,11024,73,,
2013年12月19日,11292,74,,
2013年12月20日,11367,76,,
2013年12月24日,11460,76,,
2013年12月25日,11526,77,,
2013年12月26日,11581,97,,
2013年12月27日,11633,98,,
2013年12月30日,11714,98,,
2014年01月06日,11540,99,,
2014年01月07日,11485,103,,
2014年01月08日,11591,108,,
2014年01月09日,11596,111,,
2014年01月10日,11594,113,,
2014年01月14日,11373,113,,
2014年01月15日,11539,116,,
2014年01月16日,11678,120,,
2014年01月17日,11609,122,,
2014年01月20日,11540,124,,
2014年01月21日,11597,125,,
2014年01月22日,11603,125,,
2014年01月23日,11651,127,,
2014年01月24日,11443,126,,
2014年01月27日,11067,122,,
2014年01月28日,11042,126,,
2014年01月29日,11146,131,,
2014年01月30日,10958,131,,
2014年01月31日,11099,136,,
2014年02月03日,10959,134,,
2014年02月04日,10644,131,,
2014年02月05日,10743,133,,
2014年02月06日,10732,133,,
2014年02月07日,10944,136,,
2014年02月10日,11115,139,,
2014年02月12日,11256,142,,
2014年02月13日,11290,142,,
2014年02月14日,11319,145,,
2014年02月17日,11299,145,,
2014年02月18日,11389,146,,
2014年02月19日,11434,147,,
2014年02月20日,11380,146,,
2014年02月21日,11444,147,,
2014年02月24日,11463,147,,
2014年02月25日,11515,148,,
2014年02月26日,11482,149,,
2014年02月27日,11468,149,,
2014年02月28日,11458,149,,
2014年03月03日,11421,154,,
2014年03月04日,11311,154,,
2014年03月05日,11563,157,,
2014年03月06日,11575,158,,
2014年03月07日,11706,160,,
2014年03月10日,11676,160,,
2014年03月11日,11655,160,,
2014年03月12日,11573,158,,
2014年03月13日,11548,159,,
2014年03月14日,11306,155,,
2014年03月17日,11229,154,,
2014年03月18日,11387,156,,
2014年03月19日,11414,157,,
