年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2017年02月27日,10020,1,,
2017年02月28日,10020,2,,
2017年03月01日,10003,4,,
2017年03月02日,9992,7,,
2017年03月03日,10005,9,,
2017年03月06日,10011,10,,
2017年03月07日,10006,13,,
2017年03月08日,9998,14,,
2017年03月09日,9988,14,,
2017年03月10日,9982,22,,
2017年03月13日,9982,24,,
2017年03月14日,9984,29,,
2017年03月15日,9985,29,,
2017年03月16日,10004,31,,
2017年03月17日,10002,34,,
2017年03月21日,10009,35,,
2017年03月22日,10017,42,,
2017年03月23日,10018,48,,
2017年03月24日,10012,49,,
2017年03月27日,10017,54,,
2017年03月28日,10021,55,,
2017年03月29日,10022,62,,
2017年03月30日,10013,77,,
2017年03月31日,10006,77,,
2017年04月03日,10001,81,,
2017年04月04日,10004,87,,
2017年04月05日,10002,83,,
2017年04月06日,10013,84,,
2017年04月07日,10022,86,,
2017年04月10日,10018,86,,
2017年04月11日,10026,90,,
2017年04月12日,10043,91,,
2017年04月13日,10045,92,,
2017年04月14日,10058,95,,
2017年04月17日,10068,94,,
2017年04月18日,10054,99,,
2017年04月19日,10063,103,,
2017年04月20日,10062,104,,
2017年04月21日,10061,111,,
2017年04月24日,10051,112,,
2017年04月25日,10054,115,,
2017年04月26日,10047,118,,
2017年04月27日,10044,121,,
2017年04月28日,10054,123,,
2017年05月01日,10052,127,,
2017年05月02日,10047,131,,
2017年05月08日,10037,134,,
2017年05月09日,10029,145,,
2017年05月10日,10024,147,,
2017年05月11日,10012,148,,
2017年05月12日,10016,150,,
2017年05月15日,10023,151,,
2017年05月16日,10017,157,,
2017年05月17日,10019,160,,
2017年05月18日,10027,159,,
2017年05月19日,10036,161,,
2017年05月22日,10029,188,,
2017年05月23日,10033,193,,
2017年05月24日,10029,196,,
2017年05月25日,10024,196,,
2017年05月26日,10038,198,,
2017年05月29日,10033,208,,
2017年05月30日,10038,213,,
2017年05月31日,10033,219,,
2017年06月01日,10026,221,,
2017年06月02日,10029,224,,
2017年06月05日,10033,230,,
2017年06月06日,10036,237,,
2017年06月07日,10037,237,,
2017年06月08日,10010,239,,
2017年06月09日,10025,241,,
2017年06月12日,10021,244,,
2017年06月13日,10023,250,,
2017年06月14日,10025,251,,
2017年06月15日,10036,252,,
2017年06月16日,10030,262,,
2017年06月19日,10029,264,,
2017年06月20日,10033,266,,
