年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2019年10月31日,10026,1,,
2019年11月01日,10069,30,,
2019年11月05日,10080,48,,
2019年11月06日,9956,78,,
2019年11月07日,9971,89,,
2019年11月08日,9714,95,,
2019年11月11日,9683,102,,
2019年11月12日,9493,120,,
2019年11月13日,9409,128,,
2019年11月14日,9468,133,,
2019年11月15日,9585,147,,
2019年11月18日,9663,160,,
2019年11月19日,9776,209,,
2019年11月20日,9954,240,,
2019年11月21日,9948,273,,
2019年11月22日,9875,283,,
2019年11月25日,9858,274,,
2019年11月26日,9921,288,,
2019年11月27日,9982,293,,
2019年11月28日,9974,301,,
2019年11月29日,9934,309,,
2019年12月02日,9887,316,,
2019年12月03日,9801,331,,
2019年12月04日,9775,339,,
2019年12月05日,9760,347,,
2019年12月06日,9771,349,,
2019年12月09日,9740,352,,
2019年12月10日,9734,375,,
2019年12月11日,9662,377,,
2019年12月12日,9656,387,,
2019年12月13日,9519,386,,
2019年12月16日,9449,391,,
2019年12月17日,9449,399,,
2019年12月18日,9435,403,,
2019年12月19日,9487,428,,
2019年12月20日,9441,437,,
2019年12月23日,9477,446,,
2019年12月24日,9516,465,,
2019年12月25日,9590,483,,
2019年12月26日,9666,505,,
2019年12月27日,9656,508,,
2019年12月30日,9642,522,,
2020年01月06日,9667,535,,
2020年01月07日,9627,535,,
2020年01月08日,9519,534,,
2020年01月09日,9571,527,,
2020年01月10日,9586,535,,
2020年01月14日,9601,540,,
2020年01月15日,9572,571,,
2020年01月16日,9637,583,,
2020年01月17日,9696,586,,
2020年01月20日,9750,599,,
2020年01月21日,9721,607,,
2020年01月22日,9803,626,,
2020年01月23日,9821,633,,
2020年01月24日,9860,642,,
2020年01月27日,9822,644,,
2020年01月28日,9836,651,,
2020年01月29日,9876,654,,
2020年01月30日,9920,720,,
2020年01月31日,9985,725,,
2020年02月03日,9887,685,,
2020年02月04日,9895,690,,
2020年02月05日,9944,702,,
2020年02月06日,9921,719,,
2020年02月07日,9979,720,,
2020年02月10日,9959,826,,
2020年02月12日,10023,950,,
2020年02月13日,10042,1061,,
2020年02月14日,10063,1187,,
2020年02月17日,10051,1200,,
2020年02月18日,10102,1322,,
2020年02月19日,10107,1332,,
2020年02月20日,10142,1446,,
2020年02月21日,10114,1454,,
2020年02月25日,10001,1544,,
2020年02月26日,9855,1544,,
2020年02月27日,9680,1485,,
2020年02月28日,9138,1371,,
2020年03月02日,9107,874,,
2020年03月03日,9181,708,,
2020年03月04日,9317,751,,
2020年03月05日,9534,779,,
2020年03月06日,9244,767,,
2020年03月09日,8652,700,,
2020年03月10日,8613,703,,
2020年03月11日,8630,700,,
2020年03月12日,8067,657,,
2020年03月13日,7220,592,,
2020年03月16日,7003,593,,
2020年03月17日,6922,626,,
2020年03月18日,6358,595,,
2020年03月19日,5179,515,,
2020年03月23日,5889,654,,
2020年03月24日,6643,838,,
2020年03月25日,7405,973,,
2020年03月26日,7141,1025,,
2020年03月27日,6959,989,,
2020年03月30日,7108,1039,,
2020年03月31日,7216,1076,,
2020年04月01日,6777,1018,,
2020年04月02日,6633,1034,,
2020年04月03日,6498,1026,,
2020年04月06日,6420,1021,,
2020年04月07日,6972,1125,,
2020年04月08日,7055,1151,,
2020年04月09日,7005,1161,,
2020年04月10日,7001,1212,,
2020年04月13日,7006,1245,,
2020年04月14日,7017,1272,,
2020年04月15日,6964,1266,,
2020年04月16日,7020,1315,,
2020年04月17日,7131,1342,,
2020年04月20日,7201,1375,,
2020年04月21日,6973,1328,,
2020年04月22日,6922,1307,,
2020年04月23日,7142,1374,,
2020年04月24日,7017,1376,,
2020年04月27日,7178,1436,0.00,1
2020年04月28日,7094,1436,,
2020年04月30日,7150,1465,,
2020年05月01日,7097,1467,,
2020年05月07日,7136,1436,,
2020年05月08日,7509,1549,,
2020年05月11日,7622,1578,,
2020年05月12日,7456,1546,,
2020年05月13日,7278,1568,,
2020年05月14日,7198,1581,,
2020年05月15日,7044,1556,,
2020年05月18日,7104,1591,,
2020年05月19日,7226,1638,,
2020年05月20日,7304,1677,,
2020年05月21日,7322,1689,,
2020年05月22日,7346,1706,,
2020年05月25日,7459,1726,,
2020年05月26日,7549,1765,,
2020年05月27日,7606,1796,,
2020年05月28日,7604,1825,,
2020年05月29日,7737,1808,,
2020年06月01日,7604,1792,,
2020年06月02日,7740,1904,,
2020年06月03日,7891,1961,,
2020年06月04日,7746,1956,,
2020年06月05日,7821,2030,,
2020年06月08日,7975,2089,,
2020年06月09日,7998,2148,,
2020年06月10日,8011,2200,,
2020年06月11日,7770,2162,,
2020年06月12日,7807,2153,,
2020年06月15日,7439,2030,,
2020年06月16日,7770,2090,,
2020年06月17日,7828,2161,,
2020年06月18日,7829,2178,,
2020年06月19日,7662,2137,,
2020年06月22日,7666,2146,,
2020年06月23日,7694,2170,,
2020年06月24日,7761,2201,,
2020年06月25日,7649,2181,,
2020年06月26日,7778,2246,,
2020年06月29日,7573,2199,,
2020年06月30日,7604,2227,,
2020年07月01日,7616,2243,,
2020年07月02日,7749,2278,,
2020年07月03日,7718,2255,,
2020年07月06日,7697,2251,,
2020年07月07日,7727,2271,,
2020年07月08日,7701,2204,,
2020年07月09日,7689,2208,,
2020年07月10日,7595,2185,,
2020年07月13日,7620,2205,,
2020年07月14日,7606,2159,,
2020年07月15日,7639,2174,,
2020年07月16日,7569,2162,,
2020年07月17日,7584,2176,,
2020年07月20日,7563,2169,,
2020年07月21日,7559,2182,,
2020年07月22日,7622,2197,,
2020年07月27日,7664,2211,,
2020年07月28日,7644,2221,,
2020年07月29日,7680,2220,,
2020年07月30日,7630,2204,,
2020年07月31日,7623,2199,,
2020年08月03日,7606,2196,,
2020年08月04日,7725,2250,,
2020年08月05日,7763,2249,,
2020年08月06日,7675,2251,,
2020年08月07日,7655,2261,,
2020年08月11日,7673,2271,,
2020年08月12日,7677,2309,,
2020年08月13日,7736,2328,,
2020年08月14日,7713,2319,,
2020年08月17日,7736,2337,,
2020年08月18日,7825,2382,,
2020年08月19日,7740,2303,,
2020年08月20日,7766,2326,,
2020年08月21日,7945,2397,,
2020年08月24日,7942,2375,,
2020年08月25日,7994,2433,,
2020年08月26日,7964,2475,,
2020年08月27日,7996,2518,,
2020年08月28日,8007,2538,,
2020年08月31日,8053,2558,,
2020年09月01日,7908,2517,,
2020年09月02日,7949,2603,,
2020年09月03日,8063,2641,,
2020年09月04日,8011,2720,,
2020年09月07日,7875,2633,,
2020年09月08日,7897,2661,,
2020年09月09日,7868,2718,,
2020年09月10日,7871,2793,,
2020年09月11日,7808,2791,,
2020年09月14日,7821,2852,,
2020年09月15日,7913,2974,,
2020年09月16日,8014,3033,,
2020年09月17日,8017,3080,,
2020年09月18日,7806,2966,,
2020年09月23日,7796,3054,,
2020年09月24日,7871,3212,,
2020年09月25日,7994,3191,,
2020年09月28日,8050,3259,,
2020年09月29日,8063,3276,,
2020年09月30日,7973,3248,,
2020年10月01日,7973,3334,,
