年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2017年02月27日,9896,1,,
2017年02月28日,9905,4,,
2017年03月01日,10020,8,,
2017年03月02日,10094,11,,
2017年03月03日,10052,18,,
2017年03月06日,10031,20,,
2017年03月07日,10032,26,,
2017年03月08日,10001,28,,
2017年03月09日,10029,33,,
2017年03月10日,10154,35,,
2017年03月13日,10176,37,,
2017年03月14日,10160,45,,
2017年03月15日,10136,50,,
2017年03月16日,10145,58,,
2017年03月17日,10101,59,,
2017年03月21日,10085,61,,
2017年03月22日,9871,62,,
2017年03月23日,9872,67,,
2017年03月24日,9960,73,,
2017年03月27日,9833,78,,
2017年03月28日,9965,88,,
2017年03月29日,10036,88,,
2017年03月30日,9942,89,,
2017年03月31日,9844,90,,
2017年04月03日,9875,94,,
2017年04月04日,9792,103,,
2017年04月05日,9793,103,,
2017年04月06日,9634,104,,
2017年04月07日,9697,119,,
2017年04月10日,9760,121,,
2017年04月11日,9730,128,,
2017年04月12日,9629,128,,
2017年04月13日,9556,140,,
2017年04月14日,9496,150,,
2017年04月17日,9539,152,,
2017年04月18日,9577,156,,
2017年04月19日,9576,159,,
2017年04月20日,9586,170,,
2017年04月21日,9688,173,,
2017年04月24日,9784,181,,
2017年04月25日,9888,183,,
2017年04月26日,10006,188,,
2017年04月27日,10002,188,,
2017年04月28日,9970,185,,
2017年05月01日,10023,186,,
2017年05月02日,10092,202,,
2017年05月08日,10323,207,,
2017年05月09日,10297,176,,
2017年05月10日,10320,170,,
2017年05月11日,10332,180,,
2017年05月12日,10293,180,,
2017年05月15日,10290,181,,
2017年05月16日,10317,182,,
2017年05月17日,10262,186,,
2017年05月18日,10126,184,,
2017年05月19日,10157,190,,
2017年05月22日,10209,192,,
2017年05月23日,10194,198,,
2017年05月24日,10258,199,,
2017年05月25日,10279,198,,
2017年05月26日,10221,209,,
2017年05月29日,10226,217,,
2017年05月30日,10242,221,,
2017年05月31日,10214,222,,
2017年06月01日,10329,226,,
2017年06月02日,10499,240,,
2017年06月05日,10484,242,,
2017年06月06日,10396,236,,
2017年06月07日,10400,238,,
2017年06月08日,10357,247,,
2017年06月09日,10365,250,,
2017年06月12日,10364,252,,
2017年06月13日,10377,262,,
2017年06月14日,10366,263,,
2017年06月15日,10341,264,,
2017年06月16日,10393,266,,
2017年06月19日,10458,269,,
2017年06月20日,10531,273,,
2017年06月21日,10494,279,,
2017年06月22日,10486,276,,
2017年06月23日,10492,282,,
2017年06月26日,10498,285,,
2017年06月27日,10542,288,,
2017年06月28日,10524,289,,
2017年06月29日,10587,291,,
2017年06月30日,10507,292,,
2017年07月03日,10524,299,,
2017年07月04日,10492,309,,
2017年07月05日,10551,312,,
2017年07月06日,10531,315,,
2017年07月07日,10475,315,,
2017年07月10日,10530,322,,
2017年07月11日,10606,335,,
2017年07月12日,10555,333,,
2017年07月13日,10553,335,,
2017年07月14日,10595,337,,
2017年07月18日,10563,334,,
2017年07月19日,10571,340,,
2017年07月20日,10644,349,,
2017年07月21日,10624,351,,
2017年07月24日,10569,353,,
2017年07月25日,10540,358,,
2017年07月26日,10565,366,,
2017年07月27日,10604,370,,
2017年07月28日,10568,371,,
2017年07月31日,10549,371,,
2017年08月01日,10614,376,,
2017年08月02日,10652,381,,
2017年08月03日,10648,376,,
2017年08月04日,10632,380,,
2017年08月07日,10684,377,,
2017年08月08日,10658,382,,
2017年08月09日,10544,380,,
2017年08月10日,10540,386,,
2017年08月14日,10421,388,,
2017年08月15日,10533,410,,
2017年08月16日,10531,405,,
2017年08月17日,10524,408,,
2017年08月18日,10410,405,,
2017年08月21日,10396,418,,
2017年08月22日,10402,426,,
2017年08月23日,10428,437,,
2017年08月24日,10376,436,,
2017年08月25日,10407,439,,
2017年08月28日,10427,444,,
2017年08月29日,10415,437,,
2017年08月30日,10479,443,,
2017年08月31日,10543,446,,
2017年09月01日,10557,454,,
2017年09月04日,10452,452,,
2017年09月05日,10369,437,,
2017年09月06日,10377,445,,
2017年09月07日,10417,452,,
2017年09月08日,10387,451,,
2017年09月11日,10509,455,,
2017年09月12日,10608,461,,
2017年09月13日,10672,470,,
2017年09月14日,10638,471,,
2017年09月15日,10683,474,,
2017年09月19日,10871,472,,
2017年09月20日,10871,497,,
2017年09月21日,10876,496,,
2017年09月22日,10850,493,,
2017年09月25日,10903,494,,
2017年09月26日,10903,501,,
2017年09月27日,10933,503,,
2017年09月28日,11009,513,,
2017年09月29日,10999,523,,
2017年10月02日,10992,525,,
2017年10月03日,11063,532,,
2017年10月04日,11063,534,,
2017年10月05日,11050,528,,
2017年10月06日,11081,534,,
2017年10月10日,11132,534,,
2017年10月11日,11143,553,,
2017年10月12日,11165,559,,
2017年10月13日,11221,567,,
2017年10月16日,11290,566,,
2017年10月17日,11317,579,,
2017年10月18日,11325,588,,
2017年10月19日,11362,581,,
2017年10月20日,11365,578,,
2017年10月23日,11461,589,,
2017年10月24日,11537,602,,
2017年10月25日,11502,608,,
2017年10月26日,11518,612,,
2017年10月27日,11631,624,,
2017年10月30日,11629,629,,
2017年10月31日,11597,639,,
2017年11月01日,11734,653,,
2017年11月02日,11782,671,,
2017年11月06日,11773,681,,
2017年11月07日,11909,724,,
2017年11月08日,11937,728,,
2017年11月09日,11908,741,,
