年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2016年08月30日,10000,101,,
2016年08月31日,10075,107,,
2016年09月01日,10212,110,,
2016年09月02日,10216,114,,
2016年09月05日,10241,119,,
2016年09月06日,10319,153,,
2016年09月07日,10308,155,,
2016年09月08日,10302,165,,
2016年09月09日,10286,176,,
2016年09月12日,10161,175,,
2016年09月13日,10144,177,,
2016年09月14日,10051,178,,
2016年09月15日,9963,178,,
2016年09月16日,10055,180,,
2016年09月20日,10079,181,,
2016年09月21日,10364,190,,
2016年09月23日,10330,191,,
2016年09月26日,10242,162,,
2016年09月27日,10311,164,,
2016年09月28日,10229,164,,
2016年09月29日,10274,164,,
2016年09月30日,10105,163,,
2016年10月03日,10179,165,,
2016年10月04日,10225,166,,
2016年10月05日,10270,166,,
2016年10月06日,10314,167,,
2016年10月07日,10240,166,,
2016年10月11日,10285,187,,
2016年10月12日,10202,187,,
2016年10月13日,10215,187,,
2016年10月14日,10265,187,,
2016年10月17日,10296,188,,
2016年10月18日,10349,188,,
2016年10月19日,10376,188,,
2016年10月20日,10480,170,,
2016年10月21日,10442,164,,
2016年10月24日,10449,164,,
2016年10月25日,10542,166,,
2016年10月26日,10598,167,,
2016年10月27日,10571,167,,
2016年10月28日,10651,169,,
2016年10月31日,10640,171,,
2016年11月01日,10672,172,,
2016年11月02日,10501,170,,
2016年11月04日,10364,168,,
2016年11月07日,10456,170,,
2016年11月08日,10459,171,,
2016年11月09日,10047,163,,
2016年11月10日,10493,171,0.00,1
2016年11月11日,10427,170,,
2016年11月14日,10615,171,,
2016年11月15日,10619,171,,
2016年11月16日,10749,175,,
2016年11月17日,10748,176,,
2016年11月18日,10774,178,,
2016年11月21日,10908,183,,
2016年11月22日,10963,184,,
2016年11月24日,10996,174,,
2016年11月25日,11029,183,,
2016年11月28日,11116,185,,
2016年11月29日,11099,185,,
2016年11月30日,11111,187,,
2016年12月01日,11200,190,,
2016年12月02日,11224,191,,
2016年12月05日,11119,192,,
2016年12月06日,11205,196,,
2016年12月07日,11329,203,,
2016年12月08日,11497,231,,
2016年12月09日,11615,264,,
2016年12月12日,11635,267,,
2016年12月13日,11735,271,,
2016年12月14日,11723,272,,
2016年12月15日,11793,277,,
2016年12月16日,11866,273,,
2016年12月19日,11861,274,,
2016年12月20日,11896,278,,
2016年12月21日,11855,278,,
2016年12月22日,11834,278,,
2016年12月26日,11791,298,,
2016年12月27日,11789,299,,
2016年12月28日,11814,301,,
2016年12月29日,11675,298,,
2016年12月30日,11670,278,,
2017年01月04日,11954,283,,
2017年01月05日,11982,288,,
2017年01月06日,11958,302,,
2017年01月10日,11852,301,,
2017年01月11日,11882,306,,
2017年01月12日,11735,303,,
2017年01月13日,11803,294,,
2017年01月16日,11691,290,,
2017年01月17日,11513,281,,
2017年01月18日,11548,283,,
2017年01月19日,11684,270,,
2017年01月20日,11707,272,,
2017年01月23日,11547,269,,
2017年01月24日,11448,266,,
2017年01月25日,11508,268,,
2017年01月26日,11680,272,,
2017年01月27日,11713,279,,
2017年01月30日,11678,278,,
2017年01月31日,11504,275,,
2017年02月01日,11545,277,,
2017年02月02日,11397,275,,
2017年02月03日,11449,275,,
2017年02月06日,11490,276,,
2017年02月07日,11457,275,,
2017年02月08日,11524,278,,
2017年02月09日,11431,277,,
2017年02月10日,11676,281,,
2017年02月13日,11721,282,,
2017年02月14日,11633,279,,
2017年02月15日,11717,282,,
2017年02月16日,11705,282,,
2017年02月17日,11669,285,,
2017年02月20日,11699,288,,
2017年02月21日,11775,291,,
2017年02月22日,11780,292,,
2017年02月23日,11797,293,,
2017年02月24日,11784,292,,
2017年02月27日,11670,290,,
2017年02月28日,11669,291,,
2017年03月01日,11747,292,,
2017年03月02日,11828,294,,
2017年03月03日,11762,284,,
2017年03月06日,11768,284,,
2017年03月07日,11788,285,,
2017年03月08日,11742,284,,
2017年03月09日,11772,289,,
2017年03月10日,11892,293,,
2017年03月13日,11952,295,,
2017年03月14日,11938,317,,
2017年03月15日,11911,316,,
2017年03月16日,11907,316,,
2017年03月17日,11850,313,,
2017年03月21日,11832,312,,
2017年03月22日,11616,307,,
2017年03月23日,11622,320,,
2017年03月24日,11730,323,,
2017年03月27日,11583,320,,
2017年03月28日,11727,325,,
2017年03月29日,11763,326,,
2017年03月30日,11603,322,,
2017年03月31日,11513,319,,
2017年04月03日,11574,321,,
2017年04月04日,11494,322,,
2017年04月05日,11501,322,,
2017年04月06日,11294,320,,
2017年04月07日,11409,323,,
2017年04月10日,11466,331,,
2017年04月11日,11458,334,,
2017年04月12日,11385,332,,
2017年04月13日,11326,324,,
2017年04月14日,11229,322,,
2017年04月17日,11315,322,,
2017年04月18日,11352,323,,
2017年04月19日,11383,299,,
2017年04月20日,11368,297,,
2017年04月21日,11475,301,,
2017年04月24日,11652,308,,
2017年04月25日,11725,309,,
2017年04月26日,11826,309,,
2017年04月27日,11781,309,,
2017年04月28日,11816,310,,
2017年05月01日,11866,310,,
2017年05月02日,11921,312,,
2017年05月08日,12188,320,,
2017年05月09日,12172,319,,
2017年05月10日,12227,320,0.00,2
2017年05月11日,12228,319,,
2017年05月12日,12270,308,,
2017年05月15日,12272,306,,
2017年05月16日,12272,307,,
2017年05月17日,12235,306,,
2017年05月18日,12159,304,,
2017年05月19日,12163,309,,
2017年05月22日,12219,311,,
2017年05月23日,12266,313,,
2017年05月24日,12296,314,,
2017年05月25日,12367,316,,
2017年05月26日,12287,314,,
2017年05月29日,12305,318,,
2017年05月30日,12319,320,,
2017年05月31日,12262,319,,
2017年06月01日,12432,322,,
2017年06月02日,12512,324,,
2017年06月05日,12551,338,,
2017年06月06日,12435,340,,
2017年06月07日,12448,342,,
2017年06月08日,12408,341,,
2017年06月09日,12367,340,,
2017年06月12日,12398,341,,
2017年06月13日,12414,2351,,
2017年06月14日,12430,2354,,
2017年06月15日,12436,2354,,
2017年06月16日,12489,2365,,
2017年06月19日,12590,2384,,
2017年06月20日,12635,2393,,
2017年06月21日,12572,2380,,
2017年06月22日,12569,2375,,
2017年06月23日,12594,2254,,
2017年06月26日,12623,2260,,
2017年06月27日,12662,2264,,
2017年06月28日,12629,2259,,
2017年06月29日,12719,2275,,
2017年06月30日,12640,2261,,
2017年07月03日,12637,2256,,
2017年07月04日,12585,2249,,
2017年07月05日,12630,2257,,
2017年07月06日,12617,2257,,
2017年07月07日,12519,2240,,
2017年07月10日,12569,2250,,
2017年07月11日,12621,2260,,
2017年07月12日,12529,2244,,
2017年07月13日,12506,2240,,
2017年07月14日,12558,2250,,
2017年07月18日,12523,2244,,
2017年07月19日,12555,2250,,
2017年07月20日,12640,2266,,
2017年07月21日,12611,2261,,
2017年07月24日,12552,2252,,
2017年07月25日,12510,2241,,
2017年07月26日,12515,2243,,
2017年07月27日,12533,2245,,
2017年07月28日,12568,2252,,
2017年07月31日,12516,2243,,
2017年08月01日,12624,2263,,
2017年08月02日,12598,2260,,
2017年08月03日,12632,2264,,
2017年08月04日,12645,2267,,
2017年08月07日,12746,2286,,
2017年08月08日,12722,2284,,
2017年08月09日,12608,2265,,
2017年08月10日,12580,2263,,
2017年08月14日,12431,2236,,
2017年08月15日,12524,2254,,
2017年08月16日,12487,2248,,
2017年08月17日,12476,2247,,
2017年08月18日,12358,2228,,
2017年08月21日,12341,2227,,
2017年08月22日,12327,2226,,
2017年08月23日,12349,2230,,
2017年08月24日,12292,2221,,
2017年08月25日,12330,2228,,
2017年08月28日,12398,2242,,
2017年08月29日,12365,2235,,
2017年08月30日,12420,2245,,
2017年08月31日,12507,2261,,
2017年09月01日,12531,2265,,
2017年09月04日,12367,2236,,
2017年09月05日,12238,2212,,
2017年09月06日,12243,2214,,
2017年09月07日,12301,2225,,
2017年09月08日,12272,2220,,
2017年09月11日,12358,2237,,
2017年09月12日,12439,2252,,
2017年09月13日,12505,2264,,
2017年09月14日,12461,2255,,
2017年09月15日,12476,2258,,
2017年09月19日,12664,2293,,
2017年09月20日,12647,2288,,
2017年09月21日,12654,2289,,
2017年09月22日,12668,2290,,
2017年09月25日,12772,2309,,
2017年09月26日,12831,2320,,
2017年09月27日,12842,2321,,
2017年09月28日,12959,2344,,
2017年09月29日,12976,2345,,
2017年10月02日,12938,2338,,
2017年10月03日,13029,2356,,
2017年10月04日,13038,2370,,
2017年10月05日,13024,2367,,
2017年10月06日,13007,2364,,
2017年10月10日,13098,2383,,
2017年10月11日,13105,2374,,
2017年10月12日,13095,2373,,
2017年10月13日,13133,2381,,
2017年10月16日,13217,2394,,
2017年10月17日,13237,2399,,
2017年10月18日,13252,2403,,
2017年10月19日,13248,2403,,
2017年10月20日,13243,2403,,
2017年10月23日,13299,2413,,
2017年10月24日,13397,2431,,
2017年10月25日,13309,2416,,
2017年10月26日,13302,2416,,
2017年10月27日,13384,2432,,
2017年10月30日,13368,2430,,
2017年10月31日,13342,2425,,
2017年11月01日,13473,2448,,
2017年11月02日,13523,2458,,
2017年11月06日,13469,2449,,
2017年11月07日,13610,2476,,
2017年11月08日,13620,2477,,
2017年11月09日,13592,2473,,
2017年11月10日,13462,2452,0.00,3
2017年11月13日,13372,2436,,
2017年11月14日,13287,2422,,
2017年11月15日,13021,2374,,
2017年11月16日,13146,2393,,
2017年11月17日,13129,2390,,
2017年11月20日,13156,2395,,
2017年11月21日,13197,2403,,
2017年11月22日,13213,2406,,
2017年11月24日,13267,2415,,
2017年11月27日,13285,2418,,
2017年11月28日,13250,2413,,
2017年11月29日,13416,2444,,
2017年11月30日,13599,2478,,
2017年12月01日,13610,2480,,
2017年12月04日,13564,2478,,
2017年12月05日,13687,2500,,
2017年12月06日,13514,2468,,
2017年12月07日,13679,2501,,
2017年12月08日,13823,2528,,
2017年12月11日,13878,2538,,
2017年12月12日,13893,2541,,
2017年12月13日,13883,2541,,
2017年12月14日,13893,2543,,
2017年12月15日,13810,2529,,
2017年12月18日,13904,2549,,
2017年12月19日,13895,2538,,
2017年12月20日,13969,2551,,
2017年12月21日,13977,2552,,
2017年12月22日,14021,2560,,
2017年12月25日,14019,2560,,
2017年12月26日,14017,2564,,
2017年12月27日,14069,2574,,
2017年12月28日,13943,2555,,
2017年12月29日,13944,2556,,
2018年01月04日,14161,2596,,
2018年01月05日,14260,2620,,
2018年01月09日,14267,2622,,
2018年01月10日,14313,2630,,
2018年01月11日,14311,2634,,
2018年01月12日,14196,2612,,
2018年01月15日,14244,2622,,
2018年01月16日,14265,2627,,
2018年01月17日,14230,2621,,
2018年01月18日,14055,2589,,
2018年01月19日,14170,2611,,
2018年01月22日,14183,2612,,
2018年01月23日,14297,2633,,
2018年01月24日,14304,2633,,
2018年01月25日,14254,2623,,
2018年01月26日,14278,2629,,
