年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2013年09月03日,9999,44,,
2013年09月04日,9936,44,,
2013年09月05日,10028,46,,
2013年09月06日,10066,46,,
2013年09月09日,10040,46,,
2013年09月10日,10142,47,,
2013年09月11日,10277,47,,
2013年09月12日,10245,47,,
2013年09月13日,10229,49,,
2013年09月17日,10254,49,,
2013年09月18日,10302,49,,
2013年09月19日,10316,50,,
2013年09月20日,10438,52,,
2013年09月24日,10240,51,,
2013年09月25日,10207,52,,
2013年09月26日,10134,52,,
2013年09月27日,10233,52,,
2013年09月30日,10066,53,,
2013年10月01日,10077,55,,
2013年10月02日,10119,62,,
2013年10月03日,10034,63,,
2013年10月04日,9945,64,,
2013年10月07日,10012,65,,
2013年10月08日,9891,72,,
2013年10月09日,9811,72,,
2013年10月10日,9864,74,,
2013年10月11日,10137,84,,
2013年10月15日,10272,87,,
2013年10月16日,10183,87,,
2013年10月17日,10359,90,,
2013年10月18日,10355,92,,
2013年10月21日,10416,93,,
2013年10月22日,10436,94,,
2013年10月23日,10474,95,,
2013年10月24日,10369,96,,
2013年10月25日,10384,96,,
2013年10月28日,10460,97,,
2013年10月29日,10464,97,,
2013年10月30日,10601,102,,
2013年10月31日,10582,102,,
2013年11月01日,10512,102,,
2013年11月05日,10614,103,,
2013年11月06日,10582,103,,
2013年11月07日,10645,104,,
2013年11月08日,10468,104,,
2013年11月11日,10684,107,,
2013年11月12日,10716,108,,
2013年11月13日,10735,108,,
2013年11月14日,10779,110,,
2013年11月15日,10948,111,,
2013年11月18日,10996,110,,
2013年11月19日,10915,110,,
2013年11月20日,10922,112,,
2013年11月21日,10915,112,,
2013年11月22日,11089,111,,
2013年11月25日,11168,118,,
2013年11月26日,11157,123,,
2013年11月27日,11145,128,,
2013年11月28日,11236,131,,
2013年11月29日,11286,130,,
2013年12月02日,11277,130,,
2013年12月03日,11304,130,,
2013年12月04日,11230,130,,
2013年12月05日,11197,130,,
2013年12月06日,11105,130,,
2013年12月09日,11347,131,,
2013年12月10日,11403,132,,
2013年12月11日,11320,133,,
2013年12月12日,11163,132,,
2013年12月13日,11232,115,,
2013年12月16日,11180,115,,
2013年12月17日,11237,116,,
2013年12月18日,11167,119,,
2013年12月19日,11499,123,,
2013年12月20日,11526,141,,
2013年12月24日,11573,159,,
2013年12月25日,11667,165,,
2013年12月26日,11722,178,,
2013年12月27日,11795,179,,
