年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2019年10月31日,10065,1,,
2019年11月01日,9966,1,,
2019年11月05日,9989,4,,
2019年11月06日,9885,9,,
2019年11月07日,9879,22,,
2019年11月08日,9846,43,,
2019年11月11日,9770,45,,
2019年11月12日,9788,47,,
2019年11月13日,9695,46,,
2019年11月14日,9731,55,,
2019年11月15日,9786,71,,
2019年11月18日,9863,75,,
2019年11月19日,9889,89,,
2019年11月20日,9920,109,,
2019年11月21日,9853,117,,
2019年11月22日,9759,123,,
2019年11月25日,9760,130,,
2019年11月26日,9827,134,,
2019年11月27日,9933,145,,
2019年11月28日,10011,158,,
2019年11月29日,10031,165,,
2019年12月02日,10003,165,,
2019年12月03日,9837,175,,
2019年12月04日,9810,197,,
2019年12月05日,9867,202,,
2019年12月06日,9884,212,,
2019年12月09日,9896,217,,
2019年12月10日,9920,222,,
2019年12月11日,9884,237,,
2019年12月12日,9747,236,,
2019年12月13日,9716,242,,
2019年12月16日,9683,252,,
2019年12月17日,9757,261,,
2019年12月18日,9672,270,,
2019年12月19日,9752,280,,
2019年12月20日,9784,282,,
2019年12月23日,9819,293,,
2019年12月24日,9785,304,,
2019年12月25日,9797,321,,
2019年12月26日,9821,329,,
2019年12月27日,9873,331,,
2019年12月30日,9924,332,,
2020年01月06日,9806,339,,
2020年01月07日,9838,346,,
2020年01月08日,9711,355,,
2020年01月09日,9841,368,,
2020年01月10日,9858,379,,
2020年01月14日,10052,383,,
2020年01月15日,10015,390,,
2020年01月16日,10099,412,,
2020年01月17日,10228,434,,
2020年01月20日,10227,447,,
2020年01月21日,10224,453,,
2020年01月22日,10254,454,,
2020年01月23日,10193,492,,
2020年01月24日,10238,497,,
2020年01月27日,10170,502,,
2020年01月28日,10082,502,,
2020年01月29日,10114,503,,
2020年01月30日,10098,522,,
2020年01月31日,10096,536,,
2020年02月03日,9952,532,,
2020年02月04日,9960,537,,
2020年02月05日,10134,554,,
2020年02月06日,10168,563,,
2020年02月07日,10205,567,,
2020年02月10日,10162,564,,
2020年02月12日,10289,576,,
2020年02月13日,10335,593,,
2020年02月14日,10392,603,,
2020年02月17日,10495,612,,
2020年02月18日,10496,624,,
2020年02月19日,10501,624,,
2020年02月20日,10516,704,,
2020年02月21日,10690,734,,
2020年02月25日,10442,732,,
2020年02月26日,10132,723,,
2020年02月27日,10020,747,,
2020年02月28日,9497,670,,
2020年03月02日,9091,619,,
2020年03月03日,9402,638,,
