年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2016年09月08日,10053,1,,
2016年09月09日,10089,1,,
2016年09月12日,9994,2,,
2016年09月13日,9893,2,,
2016年09月14日,9912,3,,
2016年09月15日,9894,4,,
2016年09月16日,9880,6,,
2016年09月20日,9887,7,,
2016年09月21日,9880,7,,
2016年09月23日,9970,9,,
2016年09月26日,9873,9,,
2016年09月27日,9808,9,,
2016年09月28日,9915,10,,
2016年09月29日,9987,11,,
2016年09月30日,9888,12,,
2016年10月03日,9959,13,,
2016年10月04日,10054,13,,
2016年10月05日,10054,17,,
2016年10月06日,10155,18,,
2016年10月07日,10161,20,,
2016年10月11日,10191,21,,
2016年10月12日,10069,21,,
2016年10月13日,10141,23,,
2016年10月14日,10090,24,,
2016年10月17日,10091,25,,
2016年10月18日,10076,30,,
2016年10月19日,10128,34,,
2016年10月20日,10158,40,,
2016年10月21日,10191,50,,
2016年10月24日,10133,53,,
2016年10月25日,10219,63,,
2016年10月26日,10212,77,,
2016年10月27日,10191,81,,
2016年10月28日,10200,84,,
2016年10月31日,10135,82,,
2016年11月01日,10185,85,,
2016年11月02日,10079,98,,
2016年11月04日,9972,99,,
2016年11月07日,10063,101,,
2016年11月08日,10152,103,,
2016年11月09日,10004,95,,
2016年11月10日,10101,96,,
2016年11月11日,9896,95,,
2016年11月14日,9831,106,,
2016年11月15日,9777,105,,
2016年11月16日,9936,107,,
2016年11月17日,9883,110,,
2016年11月18日,9952,110,,
2016年11月21日,9973,117,,
2016年11月22日,10028,117,,
2016年11月24日,10098,120,,
2016年11月25日,10172,124,,
2016年11月28日,10059,123,,
2016年11月29日,10116,127,,
2016年11月30日,10141,133,,
2016年12月01日,10325,136,,
2016年12月02日,10191,135,,
2016年12月05日,10180,136,,
2016年12月06日,10272,137,,
2016年12月07日,10413,143,,
2016年12月08日,10484,145,,
2016年12月09日,10487,147,,
2016年12月12日,10554,148,,
2016年12月13日,10592,152,,
2016年12月14日,10617,156,,
2016年12月15日,10729,158,,
2016年12月16日,10740,156,,
2016年12月19日,10668,159,,
2016年12月20日,10642,160,,
