年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2016年09月08日,10000,10,,
2016年09月09日,10054,10,,
2016年09月12日,9931,20,,
2016年09月13日,9798,25,,
2016年09月14日,9718,31,,
2016年09月15日,9686,31,,
2016年09月16日,9711,39,,
2016年09月20日,9782,41,,
2016年09月21日,9804,41,,
2016年09月23日,10002,44,,
2016年09月26日,9877,44,,
2016年09月27日,9709,44,,
2016年09月28日,9769,51,,
2016年09月29日,9917,59,,
2016年09月30日,9832,60,,
2016年10月03日,9793,61,,
2016年10月04日,10028,65,,
2016年10月05日,10065,69,,
2016年10月06日,10245,71,,
2016年10月07日,10317,73,,
2016年10月11日,10442,79,,
2016年10月12日,10294,78,,
2016年10月13日,10357,79,,
2016年10月14日,10217,78,,
2016年10月17日,10306,85,,
2016年10月18日,10309,88,,
2016年10月19日,10496,95,,
2016年10月20日,10520,96,,
2016年10月21日,10620,97,,
2016年10月24日,10613,99,,
2016年10月25日,10774,102,,
2016年10月26日,10784,112,,
2016年10月27日,10739,115,,
2016年10月28日,10745,120,,
2016年10月31日,10651,129,,
2016年11月01日,10693,131,,
2016年11月02日,10542,129,,
2016年11月04日,10202,128,,
2016年11月07日,10252,129,,
2016年11月08日,10604,135,,
2016年11月09日,10496,140,,
2016年11月10日,10610,142,,
2016年11月11日,10481,142,,
2016年11月14日,10202,139,,
2016年11月15日,10178,138,,
2016年11月16日,10329,140,,
2016年11月17日,10339,141,,
2016年11月18日,10429,143,,
2016年11月21日,10492,214,,
2016年11月22日,10642,224,,
2016年11月24日,10964,236,,
2016年11月25日,11024,237,,
2016年11月28日,10925,235,,
2016年11月29日,11035,246,,
2016年11月30日,10903,248,,
2016年12月01日,11209,247,,
2016年12月02日,11026,248,,
2016年12月05日,11061,199,,
2016年12月06日,11099,218,,
2016年12月07日,11268,229,,
2016年12月08日,11320,232,,
2016年12月09日,11451,241,,
2016年12月12日,11540,251,,
2016年12月13日,11507,257,,
2016年12月14日,11542,265,,
2016年12月15日,11579,267,,
2016年12月16日,11559,271,,
2016年12月19日,11496,623,,
2016年12月20日,11344,618,,
2016年12月21日,11454,275,,
2016年12月22日,11451,283,,
2016年12月26日,11321,275,,
2016年12月27日,11385,284,,
2016年12月28日,11436,286,,
2016年12月29日,11552,289,,
2016年12月30日,11569,277,,
2017年01月04日,11905,285,,
2017年01月05日,11804,283,,
2017年01月06日,11868,287,,
2017年01月10日,11820,288,,
2017年01月11日,11925,295,,
2017年01月12日,11919,301,,
2017年01月13日,12043,306,,
2017年01月16日,11947,307,,
2017年01月17日,11865,311,,
2017年01月18日,11804,309,,
2017年01月19日,12010,331,,
2017年01月20日,12002,333,,
2017年01月23日,11934,332,,
2017年01月24日,11968,337,,
2017年01月25日,12120,350,,
2017年01月26日,12099,352,,
2017年01月27日,12262,357,,
2017年01月30日,12305,358,,
2017年01月31日,12055,359,,
2017年02月01日,11968,356,,
2017年02月02日,12036,358,,
2017年02月03日,12007,385,,
2017年02月06日,11982,397,,
2017年02月07日,11889,399,,
2017年02月08日,11925,413,,
2017年02月09日,11966,420,,
2017年02月10日,12171,430,,
2017年02月13日,12360,442,,
2017年02月14日,12473,449,,
2017年02月15日,12575,465,,
2017年02月16日,12657,470,,
2017年02月17日,12563,478,,
2017年02月20日,12402,474,,
2017年02月21日,12579,489,,
2017年02月22日,12644,491,,
2017年02月23日,12632,535,,
2017年02月24日,12520,538,,
2017年02月27日,12283,539,,
2017年02月28日,12271,538,,
2017年03月01日,12281,539,,
2017年03月02日,12476,547,,
2017年03月03日,12315,554,,
2017年03月06日,12338,560,,
2017年03月07日,12320,565,,
2017年03月08日,12323,576,,
2017年03月09日,12202,575,,
2017年03月10日,12089,577,,
2017年03月13日,12120,578,,
2017年03月14日,12277,599,,
2017年03月15日,12219,596,,
2017年03月16日,12294,593,,
2017年03月17日,12429,603,,
2017年03月21日,12384,604,,
2017年03月22日,12248,602,,
2017年03月23日,12183,609,,
2017年03月24日,12138,610,,
2017年03月27日,12085,609,,
2017年03月28日,12044,611,,
2017年03月29日,12111,620,,
2017年03月30日,12193,628,,
2017年03月31日,12185,637,,
2017年04月03日,12031,630,,
2017年04月04日,12000,632,,
2017年04月05日,12058,643,,
2017年04月06日,12070,643,,
2017年04月07日,12035,645,,
2017年04月10日,12073,649,,
2017年04月11日,11971,645,,
2017年04月12日,11813,644,,
2017年04月13日,11770,629,,
2017年04月14日,11787,630,,
2017年04月17日,11676,624,,
2017年04月18日,11831,632,,
2017年04月19日,11659,623,,
2017年04月20日,11616,630,,
2017年04月21日,11707,637,,
2017年04月24日,11818,648,,
2017年04月25日,11922,654,,
2017年04月26日,12194,701,,
2017年04月27日,12165,704,,
2017年04月28日,12091,705,,
2017年05月01日,12142,711,,
2017年05月02日,12183,720,,
2017年05月08日,12119,716,,
2017年05月09日,12167,737,,
2017年05月10日,12294,758,,
2017年05月11日,12469,765,,
2017年05月12日,12458,769,,
2017年05月15日,12442,765,,
2017年05月16日,12632,778,,
2017年05月17日,12526,783,,
2017年05月18日,12215,765,,
2017年05月19日,11842,748,,
2017年05月22日,12034,763,,
2017年05月23日,12019,769,,
2017年05月24日,12121,784,,
2017年05月25日,12168,789,,
2017年05月26日,12245,799,,
2017年05月29日,12216,801,,
2017年05月30日,12176,802,,
2017年05月31日,12150,800,,
2017年06月01日,12059,794,,
2017年06月02日,12133,806,,
2017年06月05日,12075,807,,
2017年06月06日,12068,811,,
2017年06月07日,11986,805,,
2017年06月08日,12022,807,,
2017年06月09日,12019,811,,
2017年06月12日,11983,811,,
2017年06月13日,11889,806,,
2017年06月14日,11919,818,,
2017年06月15日,11908,820,,
2017年06月16日,11909,822,,
2017年06月19日,11920,822,,
2017年06月20日,12074,834,,
2017年06月21日,11933,829,,
2017年06月22日,11889,832,,
2017年06月23日,11943,835,,
2017年06月26日,11981,840,,
2017年06月27日,12185,850,,
2017年06月28日,12161,849,,
2017年06月29日,12185,864,,
2017年06月30日,12145,864,,
2017年07月03日,12169,867,,
2017年07月04日,12337,883,,
2017年07月05日,12286,887,0.00,1
2017年07月06日,12298,888,,
2017年07月07日,12274,888,,
2017年07月10日,12324,892,,
2017年07月11日,12398,893,,
2017年07月12日,12461,904,,
2017年07月13日,12608,913,,
2017年07月14日,12730,919,,
2017年07月18日,12744,916,,
2017年07月19日,12688,913,,
2017年07月20日,12767,929,,
2017年07月21日,12782,930,,
2017年07月24日,12610,926,,
2017年07月25日,12670,983,,
2017年07月26日,12733,993,,
2017年07月27日,12706,994,,
2017年07月28日,12751,999,,
2017年07月31日,12617,991,,
2017年08月01日,12648,996,,
2017年08月02日,12705,1003,,
2017年08月03日,12801,1019,,
2017年08月04日,12690,1014,,
2017年08月07日,12793,1021,,
2017年08月08日,12892,980,,
2017年08月09日,12820,986,,
2017年08月10日,12749,982,,
2017年08月14日,12411,955,,
2017年08月15日,12596,978,,
2017年08月16日,12657,978,,
2017年08月17日,12665,979,,
2017年08月18日,12550,976,,
2017年08月21日,12531,974,,
2017年08月22日,12548,976,,
2017年08月23日,12738,996,,
2017年08月24日,12718,989,,
2017年08月25日,12876,1001,,
2017年08月28日,12903,1003,,
2017年08月29日,12882,1001,,
2017年08月30日,13008,1011,,
2017年08月31日,13125,1024,,
2017年09月01日,13112,1024,,
2017年09月04日,13136,1029,,
2017年09月05日,13056,1027,,
2017年09月06日,12951,1018,,
2017年09月07日,13046,1030,,
2017年09月08日,13011,1033,,
2017年09月11日,12993,1032,,
2017年09月12日,13202,1054,,
2017年09月13日,13276,1066,,
2017年09月14日,13268,1071,,
2017年09月15日,13216,1068,,
2017年09月19日,13436,1083,,
2017年09月20日,13408,1087,,
2017年09月21日,13522,1102,,
2017年09月22日,13473,1104,,
2017年09月25日,13430,1101,,
2017年09月26日,13137,1079,,
2017年09月27日,13212,1099,,
2017年09月28日,13199,1100,,
2017年09月29日,13122,1100,,
2017年10月02日,13232,1113,,
2017年10月03日,13251,1118,,
