年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2018年01月31日,10000,500,,
2018年02月01日,10007,500,,
2018年02月02日,9921,496,,
2018年02月05日,9752,488,,
2018年02月06日,9263,463,,
2018年02月07日,9553,478,,
2018年02月08日,9519,476,,
2018年02月09日,9185,459,,
2018年02月13日,9470,473,,
2018年02月14日,9562,478,,
2018年02月15日,9714,486,,
2018年02月16日,9871,494,,
2018年02月19日,9784,489,,
2018年02月20日,9830,492,,
2018年02月21日,9942,497,,
2018年02月22日,9969,498,,
2018年02月23日,9915,496,,
2018年02月26日,10081,506,,
2018年02月27日,10191,594,,
2018年02月28日,10083,616,,
2018年03月01日,9975,634,,
2018年03月02日,9775,652,,
2018年03月05日,9824,662,,
2018年03月06日,10064,680,,
2018年03月07日,10107,687,,
2018年03月08日,10223,696,,
2018年03月09日,10234,699,,
2018年03月12日,10464,719,,
2018年03月13日,10474,728,,
2018年03月14日,10322,771,,
2018年03月15日,10359,793,,
2018年03月16日,10390,816,,
2018年03月19日,10316,815,,
2018年03月20日,10042,801,,
2018年03月22日,9950,799,,
2018年03月23日,9554,770,,
2018年03月26日,9327,742,,
2018年03月27日,9706,713,,
2018年03月28日,9166,673,,
2018年03月29日,9072,667,,
2018年03月30日,9241,680,,
2018年04月02日,9246,741,,
2018年04月03日,8903,713,,
2018年04月04日,9043,730,,
2018年04月05日,9211,746,,
2018年04月06日,9377,761,,
2018年04月09日,9124,741,,
2018年04月10日,9144,745,,
2018年04月11日,9499,778,,
2018年04月12日,9446,775,,
2018年04月13日,9544,785,,
2018年04月16日,9522,785,,
2018年04月17日,9485,733,,
2018年04月18日,9844,751,,
2018年04月19日,9895,756,,
2018年04月20日,9878,755,,
2018年04月23日,9759,752,,
2018年04月24日,9715,752,,
2018年04月25日,9505,736,,
2018年04月26日,9493,732,,
2018年04月27日,9773,753,,
2018年05月01日,9862,760,,
2018年05月02日,10019,772,,
2018年05月07日,10163,784,,
2018年05月08日,10333,808,,
2018年05月09日,10436,818,,
2018年05月10日,10624,840,,
2018年05月11日,10683,851,,
2018年05月14日,10611,851,,
2018年05月15日,10678,870,,
2018年05月16日,10572,872,,
2018年05月17日,10656,889,,
2018年05月18日,10661,888,,
2018年05月21日,10501,874,,
2018年05月22日,10566,883,,
2018年05月23日,10469,874,,
2018年05月24日,10504,877,,
2018年05月25日,10504,875,,
2018年05月28日,10541,878,,
2018年05月29日,10514,875,,
2018年05月30日,10426,867,,
2018年05月31日,10543,865,,
2018年06月01日,10591,866,,
2018年06月04日,10922,894,,
2018年06月05日,11149,903,,
2018年06月06日,11210,927,,
2018年06月07日,11354,946,,
2018年06月08日,11215,946,,
2018年06月11日,11198,957,,
